忘	亡心丶ㄋ
抱	扌勹ㄋ
油	氵由丨
肉	内人ノ
输	车俞ノ
洛	氵各ノㄋ
祖	礻且丨ㄋ
迎	卩丶
缓	纟爰ノ
虎	虍几ノ
票	覀示一
销	钅肖
婚	女氏丨
乃	乃ㄋノ
板	木ㄋ
冰	冫水丨
录	录ㄋ
伸	亻日丨
遍	户丶
虑	虍心丶
宁	宀丁一丨
臣	臣一丨ㄋ
玩	王元一
熟	享九丶
谷	谷ノ丶
予	予ㄋ丶
谋	讠甘一
炸	火乍ノ
督	上小
奥	向米一
狂	犭王一
亡	亡丶一
港	氵共ㄋ一
庭	广壬ㄋ
博	十甫一
材	木才一
俄	亻我ノ
韩	韦一
混	氵日一ㄋ
词	讠一
盘	舟皿丨
尊	酋寸一
寒	寒⺀丶
遭	曹辶丶
训	讠川ノ
拍	扌白ノ丨
麻	麻丶一
荣	劳木一
卷	㔾ㄋ
夏	丆目ノ
谓	讠田丨
凡	凡ノㄋ
私	禾厶ㄋ
厂	厂一ノ
丁	丁一丨丨
骨	骨丨ㄋ
牙	牙一ㄋ
休	亻木一丨
迫	白辶丶
授	扌受ㄋ
替	夫夫丨
拥	扌用ノ
摆	扌罒一
默	黑犬一ノ
勒	革力
骑	马大一
泽	氵又一
疗	疒了ㄋ
睛	目青一
店	广占丨
载	车一
诺	讠艹一
健	亻聿ㄋ
扬	扌汤ㄋ
纸	纟氏ノ
透	禾乃丶
床	广木一
唯	口隹ノ
岸	山厂一
迅	十丶ㄋ
尤	尢丶丶丶
稳	禾刍丶
园	囗元一一
徒	彳走一
伦	亻人ノㄋ
坦	土旦丨
择	扌又一
蓝	艹监丨
握	扌尸一
抵	扌氏丶丶
姓	女生
郑	䒑大ㄋ
弱	弓冫ㄋ
软	车欠ノ
绿	纟录ㄋ
叹	口又ㄋ
轮	车人ノ
束	束一丨丶
盖	皿丨
丈	丶丶
午	十
篇	户丨
窗	穴囟ノ
歌	可可ノ
雄	厶ノ
森	木林一
醒	酉日ノ
伙	亻火丶
残	歹戋一
戏	又戈
妻	妻女ㄋ
折	折一丨丨
甲	甲丨ㄋ
啦	口扌丶
套	大镸
塔	土艹ノ
馆	饣宀丨
秋	禾火丶ノ
梅	木每ノ
迷	米辶丶ㄋ
典	曲八
灯	火丁一
厉	厂万一
秀	禾乃ㄋ
扩	扌广丶
曲	曲丨ㄋ
爸	父巴
努	奴力ㄋ
潜	氵夫一
街	彳圭一一
硬	石更一丨
宇	宀于一一
哭	吅犬一
阻	阝且丨
萨	艹阝
纵	纟从ノ
喊	口咸一
搞	扌高丶
冒	日目丨
罢	罒去一
盛	戊丨
塞	寒土一
妹	女未一一
萧	艹肀ノ
桌	卓八ノ
圆	囗口丨
纷	纟分ノ
悲	非心丶ㄋ
鼓	壴十ㄋ
淡	氵炎丶
访	讠方丶
础	石出ㄋ
杜	木土一
宽	宀艹丨
拜	一一一
犹	犭尢丶
抽	扌由丨
刑	开刂丨
偏	亻户丨
奔	大十一
侵	亻彐丶
延	丿止ㄋ丶
懂	忄艹ノ
蒋	艹丬ノ
针	钅十一丨
抬	扌台ㄋ
舞	卌一
赞	先先丨
侧	亻贝丨丨
赛	寒贝丨
纯	纟屯一
申	日丨丨
夺	大寸一
柳	木卯ㄋ
距	匚
丹	丹ノㄋ
仿	亻方丶
川	川ノ丨
途	余辶丶ㄋ
曹	曹一丨
购	贝勹ㄋ
亿	亻乙ㄋㄋ
乌	乌一一
胸	月勹ノ
浪	氵良丶
贝	贝丨ㄋ
偷	亻俞
姆	女母
竞	立口ノ
茶	艹人一
末	末一一丶
毁	臼工ノ
烧	火尧一
伟	亻韦一一
库	广车一ㄋ
弃	廾一
墙	土十丶
雅	牙隹ノ
贸	留贝丨ㄋ
沿	氵几
爆	火日一
振	扌辰一
趣	走耳ㄋ
操	扌口丨
诚	讠戊ㄋ
挑	扌儿丶
杰	木灬丶
轰	车双ㄋ
盟	日月丨
勇	甬力ㄋ
敬	艹句ノ一
狗	犭句ノㄋ
恨	忄艮ㄋ
迹	亦辶丶
呆	口木一丨
疾	疒矢ノ
哲	折口丨
促	亻足丨
麦	夂ノㄋ
丰	丰一一
横	木丨ㄋ
闭	门才一
撤	扌丨
析	木斤ノ
挂	扌圭一
彩	爫木ノ
埃	土厶ノ
召	召ㄋノ
童	立里丨
摩	麻手ノ
乘	禾北丨一
符	付ノ
筑	工ノ
眉	目
侠	亻夹ノ
袭	龙衣丶
孤	孑瓜ノ
培	土立丨
耶	耳阝ㄋ
染	氵九一
稍	禾肖
妙	女小ノ
凶	㐅凵ㄋ
页	页一ノ
戴	田
洗	氵先ノ
陷	阝ノ
络	纟各ノㄋ
植	木直一
厚	厂日ㄋ
措	扌昔一
瓦	瓦一ㄋ
援	扌爰ノ
汇	氵匚一
触	角虫
售	隹口丨ㄋ
违	韦辶丶
粮	米良丶
泪	氵目丨
彻	彳七ㄋ
洪	氵共一丨
献	十冂丶ノ
魂	云鬼ノ丨
抢	扌仓ノ丶
玄	玄丶一
巧	工丂一
珠	王丿一一
劲	轻力ㄋ
彼	彳皮ㄋ
摸	扌莫一丨
凭	亻壬ノㄋ
暂	车斤丨
碰	石並丶
皆	比白ノ
尖	小大一
忠	中心丶
奉	
享	享丶一
聚	耳又ノ
胆	月旦丨
厅	厂丁一
闹	门亠丨
灰	火丶
津	氵聿ㄋ
倾	亻一
订	讠丁一
鸟	鸟ノㄋ
扑	扌卜丨
孔	孑乚ㄋ
汽	氵气ノ
吓	口下一丨丶
驻	马主丶一
叔	上小ㄋ
凤	几又ㄋ
紫	此糸ㄋ
妖	女夭ノ
凌	冫土
唱	口日丨
梁	氵刀ノ
箭	前丶
融	鬲虫丨
殊	歹丿一一
课	讠日一丨
莱	艹夹丨
奴	奴ㄋノ
肩	户⺝丨
扫	扌彐ㄋ
鼻	自畀丨ㄋ
庆	广大一
镜	钅音ノ
菜	艹爫一
恢	忄丶
御	彳丨一
烦	火页
裁	衣
估	亻古一丨
隔	阝鬲
尸	尸ㄋ一
尾	尸毛ノ
仪	亻丶ノ丶
瞧	目隹丶
迟	尺辶丶ㄋ
圈	囗ㄋ
译	讠又一一
骂	吅马ㄋ
珍	王㐱ノ
币	丿巾丨
惨	忄叁ノ
剩	禾北丨丨
愈	俞心丶
飘	覀示ノㄋ
荒	艹亡ノ
惯	忄毌丨
缘	纟彖ㄋㄋ
曼	日罒ㄋ
舍	舍ノ丶
季	禾子ㄋ
旗	族其一
艾	艹乂ノ
牌	片卑
恰	忄合ノ
腰	月覀ㄋノ
废	广发ㄋ
腿	月艮丶
玛	王马ㄋ
累	田糸ㄋ
涉	氵止丨
燕	廿口丨
朗	朗月ノ
颗	日木一ノ
签	佥ノ
吹	口欠ノ
罚	罒讠丨
拒	扌匚ㄋ
仰	亻ㄋ
描	扌艹丨
杯	木不一
奖	奖大一
奋	大田丨
奶	女乃ㄋ
贫	分贝丨
甘	甘一丨一
婆	氵皮ㄋ
繁	每攵ㄋ
穷	穴力ㄋ
伏	亻犬一ノ
幕	莫巾丨ㄋ
殿	尸共ノ
沈	氵冖ノㄋ
绍	纟召ㄋ
启	户口
缩	纟宀ノ
粗	米且
弗	弓ノ
患	口中丶ㄋ
仇	亻九ノ
债	亻丨
碎	石卒丶
挺	扌壬ㄋ
泰	氺丨
羊	羊丶ノ丨
旋	族疋ㄋ
晓	日尧一ㄋ
障	阝音
桥	木夭ノ
仁	亻二一一
郎	朗阝
孟	子皿丨
讯	讠一
虫	虫丨ㄋ
郭	享阝ㄋ
幻	幺ㄋ
赫	赤赤一丨
裂	歹刂丶一
凝	冫疑ノ
颜	产彡
刊	干刂丨丨
慈	䒑幺ㄋ
吕	口口丨ㄋ
昨	日乍ノ
辛	辛丶一丨
役	彳殳ノㄋ
逼	同田丶
泛	氵丿丶
瑞	王山一
伴	亻半丶
袁	土口ノ
翼	羽田
舒	舍予ㄋ
宜	宀且丨
偶	亻禺丨ㄋ
峰	山夂一一
径	彳轻ㄋ
岂	山己ㄋ
潮	氵ノ
捕	扌甫一丨
辆	车丙ノ
邪	牙阝ㄋ
症	疒正一
颇	皮页一ノ
插	扌千ノ丨
袋	代衣丶
爬	爪巴
掩	扌大丨
