的	白勹
一	一一
是	是丨
不	不一
了	了ㄋ
在	在土
我	我ノ
人	人ノ
他	亻也
这	文辶
有	⺝
个	人丨
大	大一
上	上丨
中	中丨
来	夹来
地	土也ㄋ
和	禾口
说	讠总
为	为丶
们	亻门
到	至刂
你	亻尔
就	京尢
也	也ㄋ
以	以ㄋ
国	囗王
那	阝
要	覀女
时	日寸
出	出ㄋ
着	目
可	可一
道	䒑自
之	之丶
对	又寸
会	人云
自	自ノ
而	而一
得	彳旦
下	下一
能	厶⺝
过	寸辶
生	生ノ
子	子ㄋ
于	于一
年	
后	同
发	发ㄋ
都	者阝
里	里丨
没	氵殳
还	不辶
所	
去	去一
看	目
事	同肀
如	女口
用	用ノ
小	小丨
作	亻乍
多	夕夕
行	彳亍
只	口八
好	女子
成	戊
家	宀豕
天	天一
她	女也
方	方丶
然	犬
当	彐
心	心丶
起	走己
种	禾中
想	相心
经	纟轻
现	王见
但	亻旦
法	氵去
无	一尢
同	冂同
么	丿厶
进	井辶
学	学子
面	丆囬
其	其一
前	前丶
已	已ㄋ
主	主丶
从	从ノ
动	云力
分	分ノ
把	扌巴
开	开一一
军	冖车
又	又ㄋ
两	丙从
本	木一
因	因丨
定	定丶
部	立口
与	与一
将	丬夕
日	日丨
长	长ノ
理	王里
三	三一
些	此二
实	宀⺀
样	木羊
十	十一丨
意	音心
知	矢口
此	此丨
第	弓
力	力ㄋ
很	彳艮
正	正一
高	高丶
手	手ノ
什	亻十一
身	身ノ
被	衤皮
它	宀匕
明	日月
老	耂匕
者	者一
公	公ノ
见	见丨
机	木几
向	向口
问	门口
最	日耳
使	亻同
全	人王
点	占灬
情	忄青
外	夕卜
民	民ㄋ
并	䒑廾
战	占戈
关	䒑大
工	工一丨
回	回丨
等	土
相	相一
二	二一一
重	千里
由	由丨
头	⺀大
声	士
性	忄生
应	广兴
间	门日
话	讠舌
文	文丶
给	纟合
美	大
业	业丨丨
物	牜勿
真	直八
体	亻木
或	戈口
政	正攵
几	几ノ
内	内丨
利	禾刂
打	扌丁
走	走一丨
新	立朩
位	亻立
西	西一丨
再	一冉
产	产丶
加	加ㄋ
月	月ノ
却	去卩
先	先ノ一
制	巾
特	牜土
果	日木
东	东一ㄋ
神	礻日
儿	儿ノ
才	才一
门	门丶丨
太	大丶
合	合ノ丶
信	亻言
表	
原	厂白
女	女ㄋ
更	更一丨
己	己ㄋ一
名	夕口
立	立丶
比	比一ㄋ
代	代ノ
四	四丨
斯	其斤
任	亻壬ノ
次	次丶
世	世一
便	亻更一
听	口斤
提	扌是
做	亻古ノ
海	氵每
水	水丨
教	耂子
眼	目艮
化	亻七
通	甬辶
感	咸心
王	王一
各	各ノ
口	口丨
气	气ノ一
别	另刂
少	小丿
处	夂卜
平	平一丶
常	巾
解	角刀
何	亻可
接	扌立
目	目丨
反	又
变	亦又
笑	夭
总	总心
入	入ノ丶
认	讠人
条	夂朩
安	宀女ㄋ
金	金ノ丶
及	及ノ
让	讠上
度	度又
山	山丨
马	马ㄋ
受	受又
活	氵舌
结	纟吉
数	米女
直	直一丨
必	必丶ㄋ
白	白ノ丨
指	扌旨
张	弓长ノ
报	扌卩
论	讠人ノ
员	口贝
义	丶乂
放	方攵
电	日乚
至	至一ㄋ
五	五一丨
系	丿糸
难	又隹
命	合卩
建	聿廴
尔	尔ノㄋ
件	亻牛
死	歹匕ノ
保	华口
完	宀元
许	讠
题	是页一
场	土汤
空	穴工
计	讠十
怎	乍心丶
光	光丨
管	宀
非	非丨一
德	彳十
强	弓口
量	旦里丨
决	冫夬
形	开彡
像	亻象
期	其月
资	次贝
队	阝人
清	氵青
务	夂力
统	纟
书	
市	亠巾
司	同
师	一丨
住	亻主丶
即	卩
克	古儿
带	带一丨
飞	
南	十冂
区	区一ノ
李	木子
则	贝刂
觉	学见
交	交丶一
社	礻土
今	今ノ
基	其土
北	北丨一
展	尸
传	亻专一
连	车辶
叫	口丩
治	氵台
路	各
万	万一ㄋ
告	告ノ一
科	禾⺀
呢	口尸
思	田心丶
达	大辶
记	讠己
转	车专一
望	亡月
边	力辶
快	忄夬
风	风ノㄋ
色	巴
该	讠亥丶
界	田人ノ
象	象ノㄋ
权	木又
拉	扌立丶
设	讠殳
且	且丨ㄋ
取	耳又
干	干一一
收	丩攵
步	止
领	令页
林	林一丨
根	木艮
往	彳主丶
亲	立朩一
极	木及
求	求一丨
未	未一一
每	每ノ
程	禾口一
式	弋工
兵	丘八
据	扌尸
类	米大
言	言丶
规	夫见
吧	口巴
品	口吅
确	石角
观	又见
城	土戊ㄋ
虽	口虫
失	丿夫一
格	木各ノ
远	元辶丶
办	力八
元	元一一
运	云辶丶
令	令ノ丶
共	共一丨
似	亻以ㄋ
准	冫隹
请	讠青
武	一弋丨
士	士一
改	己攵ノ
英	艹央
术	木丶丶
车	车一ㄋ
石	石一ノ
深	氵冖
联	耳䒑
争	争ノㄋ
吗	口马
院	阝宀
轻	车轻
火	火丶ノ
罗	罒夕ノ
百	百一ノ
夫	夫一一
离	㐫禸
花	荷七ノ
近	斤辶丶
切	七刀
识	讠口
造	告辶
组	纟且丨
流	氵㐬丶
算	目
布	巾丨
导	巳寸
早	早丨ㄋ
找	扌戈
候	攸
满	氵艹
服	月卩
官	宀㠯
整	束攵
爱	受
字	宀子ㄋ
持	扌土
跟	艮
突	穴犬
影	日京
消	氵肖丨
吃	口
随	阝
商	商丶
证	讠正
单	单丶
议	讠丶ノ
越	走戉
存	在子
击	凵
精	米青
济	氵文
始	女台
台	台ㄋ
黑	黑丨
调	讠冂
需	雨而
支	十又ㄋ
杀	乂朩
团	囗才一
功	工力
具	八
华	华七
脸	月佥
府	广付ノ
集	隹木
周	冂吉
青	青一一
红	纟工一
双	双ㄋ丶
九	九ノ
八	八ノ丶
片	片ノ丨
半	半丶ノ
容	宀谷ノ
曾	曾丶ノ
阿	阝可
落	落各
显	日业丨
除	阝余
尽	尺⺀
党	儿
照	日召
众	人从ノ
备	夂田丨
复	复ノ一
陈	阝东一
断	米乚ノ
价	亻人ノ
约	纟勹丶
写	冖与
包	勹巳ㄋ
级	纟及ノ
另	另丨
病	疒丙ノ
质	十丨
称	禾尔
倒	亻至丨
江	氵工一
绝	纟
敌	舌攵
黄	由ノ
技	扌十
六	六丶
朝	月ノ
派	氵ノ
线	纟戋
站	立占丨
究	穴九
装	丬士
亚	亚一
首	䒑自ノ
刚	冈刂丨
示	示一一
视	礻见丨
况	冫口
增	土曾丶
谈	讠炎丶
惊	忄京
古	古一丨一
史	口乂ノ
谁	讠隹ノ
引	弓丨丨
须	彡页
七	七一ㄋ
息	自心丶
研	石开
际	阝示一
器	吅犬
