丶	r	基本笔画【点】
一	e	基本笔画【横】
丨	i	基本笔画【竖】
ㄋ	u	基本笔画【折】
ノ	o	基本笔画【撇】
氵	f	没法泥流清活测游
口	k	吗吧啊和群只问如
艹	a	懂蓝英节苹满菜苦
木	g	样本根机果体格查
扌	h	打拼把接换按搞找
日	l	时最果电间明日星
亻	s	你什他做们件但像
王	s	现理全国玩弄王宝
山	v	山端岁仙岂催峰嵌
月	c	明脑月服期腾肤脸
宀	n	字实家案完按安管
土	d	在等地基特持块压
女	w	好要如数案安始女
纟	x	练编经给组统结级
讠	v	词说记话该试计语
虫	q	独虽蛋触蛮融虫蝠
忄	p	快懂性情慢怕惯怪
石	m	码确石研破硬础碎
火	m	灵火烦烧爆秋伙炸
	n	笔算简第等管符签
鱼	c	鱼鲜鲁撸鲸鲍稣鳌
禾	t	和种程利科移香称
大	l	大太关头类美爽奇
目	b	看算着目眼睡盲冒
米	g	数类米精料断悉释
疒	l	病瘦痛疼疫症疯疗
尸	f	呢泥屏据局展居层
田	x	思画界逼留备男细
广	j	应库序底广康废店
十	h	什十计支读章续技
车	j	输库软较载连转车
贝	a	则赛测员资贴呗负
马	g	码吗马验妈骂骗骚
人	d	个人会全认论价界
白	d	的原白怕愿貌拍激
门	l	问们简间门闭闻阅
雨	n	需雨零震雪雷露霸
立	y	新接位部拉端站立
隹	m	难谁准鹤推集维截
衤	x	被补初裤裸袖裕裙
辶	w	这还过选速进通适
冂	p	同网调删周南册洞
羽	b	翻耀扇翁翼翔羽戳
弓	s	强第费张引弹矧佛
彳	d	得很行往待律徐德
匚	g	医框距巨汇匹拒砸
耳	b	最取联聊闻趣耳职
穴	t	空究突控窗穿穷挖
䒑	w	道拼关屏并首联送
冖	q	写鹤深军尝晕冠沉
心	n	想怎感意心思忘总
户	p	编户启护遍房偏骗
巾	v	常制布市刷幕吊帅
鸟	v	鸟鸡鹅鸦鸽鸭鸣鸵
工	p	空功差工式红左项
力	v	动功力边办助务男
臼	z	搜瘦毁臼艘舅嫂倪
舟	y	盘般搬航舰船舟艘
其	g	其基期斯甚欺旗麒
劳	d	蒙营荣劳捞茕唠檬
革	t	革霸鞋鞭勒鞠鞘嘞
文	h	这文浏济齐刘挤剂
古	h	做估古苦克居固剧
比	y	比毕批屁楷谐哔皆
	m	年吃许午伤临拖舞
音	z	音意竟章境暗韵镜
刂	t	到别刚则利型列划
合	b	给合哈拿命答鸽恰
歹	j	死列例殊残烈裂歹
虍	y	虑虎虚滤虐嘘虍唬
方	p	方放房旁防仿访邀
子	t	字好学子教存李仔
丰	d	害割丰慧艳契逢酆
寸	f	过时对导讨封射村
小	a	小少乐省秒抄沙妙
自	n	自道首息咱鼻臭齁
儿	x	儿竟充克跳党兄挑
由	f	由黄油抽邮轴宙迪
八	v	只真办具八典兮兴
圭	m	挂哇封佳娃街鞋蛙
非	v	非排靠罪辈啡悲徘
甫	p	辅博薄铺傅搏捕甫
刀	p	解切初刀忍剪涩券
羊	m	样养善羊鲜详洋祥
氏	y	低底纸婚氏抵昏祇
页	y	题顶顺烦页须领预
各	j	格各路落略客络额
矛	w	橘矛柔鹜揉茅婺糅
分	v	分份粉贫纷盆掰扮
角	x	解确角触蟹懈觖觟
者	y	都者猪署著嘟诸煮
青	s	情请清精猜青静睛
林	s	楚禁梦林森婪淋霖
冫	q	准决况减冲冷冰凉
从	f	两从众坐座纵怂巫
可	t	可何歌奇哥阿呵河
令	q	领冷令零铃龄怜泠
吅	x	器品骂哭谔囊嚣腭
族	h	游族施旗旋旅旒旌
束	w	速整懒束辣赖嗽喇
直	j	直真置值填植镇殖
夹	n	来夹侠陕狭莱睐峡
见	n	现觉见规视观览舰
京	m	就影京景惊凉谅掠
享	k	熟享郭敦淳孰墩椁
九	m	熟究九杂染仇抛轨
犬	y	然器突默状哭厌臭
止	d	频肯步延止卸企扯
句	k	够句狗警敬擎苟拘
台	p	台始治胎抬怠饴怡
去	k	法去脚却丢罢劫磕
肖	s	消销稍逍哨肖宵悄
不	m	不还否坏歪环怀杯
戊	y	成藏城威诚戚盛戌
吉	j	结周颉吉洁雕猿桔
气	d	气汽氛氧氨氮氪氢
占	c	点战站贴占店帖粘
毛	v	笔毫毛尾耗橇毯撬
龙	n	龙袭垄庞咙拢笼宠
厃	j	危脆诡跪瞻詹澹赡
召	d	超照绍招召昭邵貂
乍	s	怎作咋昨炸诈窄乍
	z	腾圈卷拳券眷桊誊
交	q	较效交校饺咬胶狡
